Sample,Payload [Bytes],Latency [us]
1,8192,63.317000
2,8192,25.265000
3,8192,18.532500
4,8192,18.389500
5,8192,17.095000
6,8192,16.546500
7,8192,15.364500
8,8192,15.284500
9,8192,15.145500
10,8192,15.090000
11,8192,15.238000
12,8192,15.388000
13,8192,15.033500
14,8192,15.268500
15,8192,14.997000
16,8192,15.328500
17,8192,15.301500
18,8192,15.037000
19,8192,15.004500
20,8192,15.288500
21,8192,15.262500
22,8192,15.298000
23,8192,15.235500
24,8192,15.196500
25,8192,15.135000
26,8192,15.069000
27,8192,15.228500
28,8192,15.276500
29,8192,15.327500
30,8192,15.682500
31,8192,15.270500
32,8192,15.256500
33,8192,15.230500
34,8192,15.310000
35,8192,15.299500
36,8192,15.320500
37,8192,15.179000
38,8192,15.484500
39,8192,15.134000
40,8192,15.444500
41,8192,15.118500
42,8192,15.274500
43,8192,14.928500
44,8192,15.326000
45,8192,15.311500
46,8192,15.203000
47,8192,15.311000
48,8192,15.090000
49,8192,15.176500
50,8192,15.102000
51,8192,15.114000
52,8192,15.189500
53,8192,15.135500
54,8192,15.450500
55,8192,14.987500
56,8192,15.184500
57,8192,15.328500
58,8192,15.316000
59,8192,15.120000
60,8192,15.278500
61,8192,14.883500
62,8192,15.360000
63,8192,15.023500
64,8192,15.569000
65,8192,15.379500
66,8192,15.359000
67,8192,15.363500
68,8192,15.191000
69,8192,15.166500
70,8192,15.094000
71,8192,15.163500
72,8192,15.093000
73,8192,15.163500
74,8192,15.207500
75,8192,15.016500
76,8192,30.194000
77,8192,15.949000
78,8192,15.156000
79,8192,15.278500
80,8192,15.361500
81,8192,15.215500
82,8192,15.151000
83,8192,15.239000
84,8192,15.350500
85,8192,15.110500
86,8192,15.366000
87,8192,15.103000
88,8192,15.318500
89,8192,15.130000
90,8192,15.131500
91,8192,14.997500
92,8192,15.190000
93,8192,14.968500
94,8192,15.414500
95,8192,15.221500
96,8192,15.027000
97,8192,15.356000
98,8192,15.473000
99,8192,15.164000
100,8192,14.987000
101,8192,15.343000
102,8192,15.102000
103,8192,15.145500
104,8192,15.386000
105,8192,15.256500
106,8192,15.325000
107,8192,15.052500
108,8192,15.374000
109,8192,15.110500
110,8192,15.050500
111,8192,15.251000
112,8192,15.370500
113,8192,15.326000
114,8192,15.315000
115,8192,15.284500
116,8192,15.277500
117,8192,15.117500
118,8192,15.260500
119,8192,15.272000
120,8192,15.347000
121,8192,15.259000
122,8192,15.395500
123,8192,14.868500
124,8192,15.376000
125,8192,15.066000
126,8192,15.303500
127,8192,15.060000
128,8192,15.399500
129,8192,15.014500
130,8192,15.280500
131,8192,15.352500
132,8192,15.483000
133,8192,15.117500
134,8192,15.198500
135,8192,15.196500
136,8192,15.273500
137,8192,15.406500
138,8192,15.167000
139,8192,15.106000
140,8192,15.137000
141,8192,15.217500
142,8192,15.408000
143,8192,15.303000
144,8192,15.201500
145,8192,15.112500
146,8192,15.121500
147,8192,15.252500
148,8192,15.084000
149,8192,15.181500
150,8192,15.113000
151,8192,15.163500
152,8192,15.127000
153,8192,15.081500
154,8192,15.334500
155,8192,15.354500
156,8192,15.185500
157,8192,15.391500
158,8192,15.147500
159,8192,15.260500
160,8192,15.157000
161,8192,15.043500
162,8192,15.416500
163,8192,15.106500
164,8192,17.858000
165,8192,4.536000
166,8192,4.557000
167,8192,4.541500
168,8192,4.578500
169,8192,4.646500
170,8192,4.569500
171,8192,4.487000
172,8192,4.536000
173,8192,4.509000
174,8192,4.523000
175,8192,4.535000
176,8192,4.546000
177,8192,4.531000
178,8192,4.538500
179,8192,4.508000
180,8192,4.544500
181,8192,4.549500
182,8192,4.509500
183,8192,4.518000
184,8192,4.547000
185,8192,4.571000
186,8192,4.513000
187,8192,4.527000
188,8192,4.535000
189,8192,4.518500
190,8192,4.522000
191,8192,4.538000
192,8192,4.519500
193,8192,4.521000
194,8192,4.521500
195,8192,4.557000
196,8192,4.528000
197,8192,4.516500
198,8192,4.529500
199,8192,4.537500
200,8192,4.505000
201,8192,4.511000
202,8192,4.522500
203,8192,4.535500
204,8192,4.542000
205,8192,4.526500
206,8192,4.499500
207,8192,4.502500
208,8192,4.490500
209,8192,4.516000
210,8192,4.501000
211,8192,4.547500
212,8192,4.563500
213,8192,4.528000
214,8192,4.511000
215,8192,4.528500
216,8192,4.607500
217,8192,4.546000
218,8192,4.516000
219,8192,4.516500
220,8192,4.551000
221,8192,4.502500
222,8192,4.557500
223,8192,4.547500
224,8192,4.535000
225,8192,4.508000
226,8192,4.515500
227,8192,4.506500
228,8192,4.525500
229,8192,4.502500
230,8192,4.510500
231,8192,4.552000
232,8192,4.498500
233,8192,4.532500
234,8192,4.617000
235,8192,4.524500
236,8192,4.523500
237,8192,4.539000
238,8192,4.538500
239,8192,4.538500
240,8192,4.553500
241,8192,4.517500
242,8192,4.507500
243,8192,4.538500
244,8192,4.548500
245,8192,4.537000
246,8192,4.550500
247,8192,4.541000
248,8192,4.520500
249,8192,4.514000
250,8192,4.557000
251,8192,4.558000
252,8192,4.510000
253,8192,4.526500
254,8192,4.498500
255,8192,4.544500
256,8192,4.553500
257,8192,4.516500
258,8192,4.530500
259,8192,4.523500
260,8192,4.517000
261,8192,4.551500
262,8192,4.529500
263,8192,4.506000
264,8192,4.552500
265,8192,4.537500
266,8192,4.515000
267,8192,4.507000
268,8192,4.519000
269,8192,4.506500
270,8192,4.520500
271,8192,4.499000
272,8192,4.607000
273,8192,4.499000
274,8192,4.489500
275,8192,4.513500
276,8192,4.564500
277,8192,4.532000
278,8192,4.525500
279,8192,4.535000
280,8192,4.529000
281,8192,4.511000
282,8192,4.528000
283,8192,4.520000
284,8192,4.626000
285,8192,4.523000
286,8192,4.508000
287,8192,4.522000
288,8192,4.520000
289,8192,4.553000
290,8192,4.538500
291,8192,4.517000
292,8192,4.530000
293,8192,4.560000
294,8192,4.498000
295,8192,4.532000
296,8192,4.532000
297,8192,4.487500
298,8192,4.522000
299,8192,4.525500
300,8192,4.572500
301,8192,4.518500
302,8192,4.547500
303,8192,4.562500
304,8192,8.336500
305,8192,4.500000
306,8192,4.557500
307,8192,4.543000
308,8192,4.534500
309,8192,4.539000
310,8192,4.516000
311,8192,4.535000
312,8192,4.502000
313,8192,4.528000
314,8192,4.522000
315,8192,4.530000
316,8192,4.555500
317,8192,4.527500
318,8192,4.517000
319,8192,4.539500
320,8192,4.559500
321,8192,4.512500
322,8192,4.533000
323,8192,4.514500
324,8192,4.500500
325,8192,4.504000
326,8192,4.519000
