Sample,Payload [Bytes],Latency [us]
1,16,0.969868
2,16,0.517868
3,16,0.507868
4,16,0.491368
5,16,0.497868
6,16,0.491368
7,16,0.499368
8,16,0.487368
9,16,0.490868
10,16,0.498368
11,16,0.488868
12,16,0.487868
13,16,0.491368
14,16,0.501868
15,16,0.490368
16,16,0.491868
17,16,0.497368
18,16,0.493368
19,16,0.492868
20,16,0.493868
21,16,0.492868
22,16,0.492868
23,16,0.490868
24,16,0.490868
25,16,0.488368
26,16,0.489368
27,16,0.498868
28,16,0.487368
29,16,0.488368
30,16,0.490368
31,16,0.500368
32,16,0.497868
33,16,0.518368
34,16,0.481368
35,16,0.486868
36,16,0.491868
37,16,0.499368
38,16,0.488868
39,16,0.488868
40,16,0.487868
41,16,0.485868
42,16,0.492368
43,16,0.491868
44,16,0.494868
45,16,0.489868
46,16,0.491868
47,16,0.487868
48,16,0.508368
49,16,0.499868
50,16,0.493368
51,16,0.494368
52,16,1.42837
53,16,0.487368
54,16,0.477868
55,16,0.474368
56,16,0.475868
57,16,0.477868
58,16,0.483368
59,16,0.480368
60,16,0.481868
61,16,0.482868
62,16,0.481368
63,16,0.479368
64,16,0.496368
65,16,0.487868
66,16,0.479868
67,16,0.482868
68,16,0.481368
69,16,0.481368
70,16,0.477868
71,16,0.479868
72,16,0.480368
73,16,0.477368
74,16,0.485368
75,16,0.498368
76,16,0.482368
77,16,0.483368
78,16,0.484368
79,16,0.482368
80,16,0.478368
81,16,0.482868
82,16,0.481868
83,16,0.484868
84,16,0.479868
85,16,0.488868
86,16,0.482368
87,16,0.484368
88,16,0.482868
89,16,0.489868
90,16,0.477868
91,16,0.482368
92,16,0.478368
93,16,0.481368
94,16,0.483368
95,16,0.492868
96,16,0.482868
97,16,0.483368
98,16,0.477368
99,16,0.479368
100,16,0.487368
101,16,0.478868
102,16,0.482368
103,16,0.485368
104,16,0.481368
105,16,0.487868
106,16,0.483368
107,16,0.479868
108,16,0.481368
109,16,0.482368
110,16,0.496868
111,16,0.485868
112,16,0.482868
113,16,0.479368
114,16,0.480868
115,16,0.480368
116,16,0.479368
117,16,0.479368
118,16,0.475868
119,16,0.479868
120,16,0.484368
121,16,2.22887
122,16,0.518868
123,16,0.484868
124,16,0.479368
125,16,0.487868
126,16,0.488868
127,16,0.485868
128,16,0.484868
129,16,0.506868
130,16,0.495868
131,16,0.480368
132,16,0.480868
133,16,0.480368
134,16,0.482868
135,16,0.480368
136,16,0.484368
137,16,0.484368
138,16,0.478868
139,16,0.477368
140,16,0.480868
141,16,0.481368
142,16,0.487868
143,16,0.482868
144,16,0.477368
145,16,0.483368
146,16,0.477368
147,16,0.482868
148,16,0.481868
149,16,0.481368
150,16,0.495368
151,16,0.482368
152,16,0.482868
153,16,0.486368
154,16,0.489868
155,16,0.485368
156,16,0.481868
157,16,0.484868
158,16,0.484368
159,16,0.480368
160,16,0.481368
161,16,0.478368
162,16,0.481868
163,16,0.480868
164,16,0.484368
165,16,0.487868
166,16,0.479368
167,16,0.484368
168,16,0.480368
169,16,0.478368
170,16,0.482368
171,16,0.480368
172,16,0.484868
173,16,0.487868
174,16,0.478868
175,16,0.482368
176,16,0.486368
177,16,0.478868
178,16,0.487868
179,16,0.492868
180,16,0.487368
181,16,0.482868
182,16,0.482868
183,16,0.482868
184,16,0.489368
185,16,0.479868
186,16,0.495868
187,16,0.483368
188,16,0.477868
189,16,0.482368
190,16,0.491868
191,16,0.481868
192,16,0.480368
193,16,0.476368
194,16,0.481868
195,16,0.477868
196,16,0.481368
197,16,0.486868
198,16,0.483368
199,16,0.479868
200,16,0.484368
201,16,0.484368
202,16,0.484368
203,16,0.484368
204,16,0.480868
205,16,0.483368
206,16,0.484368
207,16,0.486368
208,16,0.481368
209,16,0.481868
210,16,0.480368
211,16,0.481368
212,16,0.477868
213,16,0.477868
214,16,0.498368
215,16,0.485368
216,16,0.483868
217,16,0.481868
218,16,0.476868
219,16,0.485868
220,16,0.482868
221,16,0.480868
222,16,0.478868
223,16,0.485368
224,16,0.483368
225,16,0.486368
226,16,0.488868
227,16,0.486368
228,16,0.481368
229,16,0.485368
230,16,0.483868
231,16,0.485868
232,16,0.478368
233,16,0.491868
234,16,0.481368
235,16,0.488868
236,16,0.479368
237,16,0.482368
238,16,0.491368
239,16,0.487368
240,16,0.477868
241,16,0.481368
242,16,0.482368
243,16,0.484868
244,16,0.479868
245,16,0.481368
246,16,0.482368
247,16,0.493868
248,16,0.481368
249,16,0.483368
250,16,0.481868
251,16,0.481368
252,16,0.481868
253,16,0.481368
254,16,0.476368
255,16,0.484368
256,16,0.482868
257,16,0.512868
258,16,0.485868
259,16,0.480368
260,16,0.491868
261,16,0.481868
262,16,0.480368
263,16,0.479368
264,16,0.491868
265,16,0.486368
266,16,0.480868
267,16,0.480868
268,16,0.483868
269,16,0.478368
270,16,0.479368
271,16,0.485868
272,16,0.480368
273,16,0.492368
274,16,0.483368
275,16,0.484868
276,16,0.483368
277,16,0.489368
278,16,0.483368
279,16,0.493868
280,16,0.481368
281,16,0.478868
282,16,0.478868
283,16,0.481368
284,16,0.482868
285,16,0.484868
286,16,0.482368
287,16,0.479868
288,16,0.494868
289,16,0.484368
290,16,0.477368
291,16,0.477368
292,16,0.480368
293,16,0.481368
294,16,0.493868
295,16,0.485868
296,16,0.483368
297,16,0.482868
298,16,0.482368
299,16,0.480868
300,16,0.487868
301,16,0.485368
302,16,0.484868
303,16,0.485368
304,16,0.481868
305,16,0.479868
306,16,0.480368
307,16,0.490868
308,16,0.481368
309,16,0.480868
310,16,0.491368
311,16,0.478868
312,16,0.484368
313,16,0.483368
314,16,0.484368
315,16,0.483368
316,16,0.484368
317,16,0.482868
318,16,0.485368
319,16,0.487368
320,16,0.482868
321,16,0.487868
322,16,0.477868
323,16,0.484368
324,16,0.484368
325,16,0.482868
326,16,0.490368
327,16,0.484368
328,16,0.484868
329,16,0.491368
330,16,0.477868
331,16,0.477368
332,16,0.482868
333,16,0.481368
334,16,0.484368
335,16,0.480368
336,16,0.493868
337,16,0.480868
338,16,0.484868
339,16,0.484868
340,16,0.482368
341,16,0.485368
342,16,0.490368
343,16,0.481368
344,16,0.481368
345,16,0.488368
346,16,0.491368
347,16,0.489868
348,16,0.485368
349,16,0.484368
350,16,0.482368
351,16,0.481368
352,16,0.477368
353,16,0.482368
354,16,0.479868
355,16,0.487368
356,16,0.483368
357,16,0.481868
358,16,0.481368
359,16,0.479868
360,16,0.481368
361,16,0.490868
362,16,0.480868
363,16,0.478868
364,16,0.480368
365,16,0.485368
366,16,0.496868
367,16,0.481868
368,16,0.480368
369,16,0.485368
370,16,0.480368
371,16,0.481368
372,16,0.481368
373,16,0.482368
374,16,0.479868
375,16,0.486868
