Sample,Payload [Bytes],Latency [us]
1,16,58.625
2,16,39.4555
3,16,38.5435
4,16,17.541
5,16,12.4515
6,16,11.843
7,16,7.84503
8,16,7.42453
9,16,7.40603
10,16,7.31653
11,16,7.28453
12,16,7.32703
13,16,7.35853
14,16,8.01203
15,16,8.01503
16,16,8.04603
17,16,8.03203
18,16,8.01703
19,16,7.94453
20,16,7.27003
21,16,7.25353
22,16,7.33403
23,16,7.27653
24,16,7.26803
25,16,7.31003
26,16,7.32003
27,16,7.34053
28,16,7.35603
29,16,7.29103
30,16,7.26653
31,16,7.27103
32,16,7.35203
33,16,8.00403
34,16,7.27203
35,16,7.29253
36,16,7.28553
37,16,7.21903
38,16,7.29753
39,16,7.36553
40,16,7.33603
41,16,7.30453
42,16,7.29403
43,16,7.22653
44,16,7.23753
45,16,7.28253
46,16,7.35353
47,16,7.21753
48,16,7.97503
49,16,7.96253
50,16,8.02603
51,16,7.99253
52,16,8.03203
53,16,7.80453
54,16,8.05403
55,16,8.59753
56,16,7.61353
57,16,7.91003
58,16,8.07453
59,16,7.98203
60,16,7.95303
61,16,8.02903
62,16,10.8585
63,16,7.66553
64,16,8.04403
65,16,7.63553
66,16,7.36203
67,16,7.30053
68,16,7.34253
69,16,7.27703
70,16,7.32403
71,16,7.10453
72,16,8.18603
73,16,8.76103
74,16,8.12703
75,16,8.02153
76,16,8.03603
77,16,7.25253
78,16,8.03303
79,16,7.95303
80,16,7.93703
81,16,7.18603
82,16,7.29703
83,16,7.29603
84,16,7.99603
85,16,8.13803
86,16,8.01453
87,16,8.03103
88,16,7.34353
89,16,7.30953
90,16,7.98053
91,16,8.05453
92,16,7.34253
93,16,7.29753
94,16,7.27953
95,16,7.96653
96,16,8.04203
97,16,7.99703
98,16,8.01203
99,16,8.08353
100,16,14.323
101,16,7.77403
102,16,8.49903
103,16,7.75603
104,16,7.83803
105,16,8.56603
106,16,8.60603
107,16,7.75903
108,16,7.66103
109,16,8.56603
110,16,9.15403
111,16,8.96003
112,16,8.89353
113,16,8.89903
114,16,8.98403
115,16,13.792
116,16,14.257
117,16,14.333
118,16,14.3885
119,16,14.349
120,16,14.3285
121,16,14.27
122,16,14.329
123,16,14.29
124,16,14.394
125,16,14.3115
126,16,14.244
127,16,14.316
128,16,14.637
129,16,14.3635
130,16,14.38
131,16,14.3195
132,16,14.384
133,16,14.341
134,16,14.3125
135,16,13.8595
136,16,14.3265
137,16,14.3525
138,16,14.3545
139,16,13.8535
140,16,14.2735
141,16,13.7225
142,16,19.296
143,16,15.348
144,16,14.486
145,16,14.399
146,16,14.431
147,16,14.362
148,16,15.123
149,16,14.41
150,16,14.3295
151,16,14.3495
152,16,14.2985
153,16,14.3255
154,16,14.3735
155,16,14.326
156,16,14.4055
157,16,14.3525
158,16,14.327
159,16,14.3065
160,16,14.7345
161,16,14.3425
162,16,14.497
163,16,14.3665
164,16,14.331
165,16,14.3035
166,16,14.3175
167,16,14.347
168,16,14.3845
169,16,14.3735
170,16,14.337
171,16,14.3465
172,16,14.3225
173,16,14.2365
174,16,14.2595
175,16,14.274
176,16,14.2975
177,16,14.9385
178,16,14.3285
179,16,14.2435
180,16,14.263
181,16,14.406
182,16,14.605
183,16,19.843
184,16,14.308
185,16,14.467
186,16,14.3775
187,16,15.0045
188,16,14.29
189,16,14.2105
190,16,13.7625
191,16,14.308
192,16,15.164
193,16,14.3045
194,16,14.3025
195,16,14.168
196,16,14.9825
197,16,14.179
198,16,14.3315
199,16,14.2385
200,16,14.295
201,16,13.653
202,16,14.1995
203,16,14.234
204,16,14.942
205,16,14.285
206,16,14.269
207,16,14.2755
208,16,14.3175
209,16,21.3115
210,16,14.512
211,16,13.8055
212,16,14.139
213,16,14.2685
214,16,14.2415
215,16,14.278
216,16,14.1665
217,16,14.168
218,16,13.768
219,16,14.193
220,16,14.2075
221,16,14.13
222,16,14.231
223,16,14.5345
224,16,14.273
225,16,14.218
226,16,14.221
227,16,14.1635
228,16,14.1625
229,16,14.2115
230,16,14.1965
231,16,14.2585
232,16,14.24
233,16,15.0675
234,16,14.2655
235,16,14.181
236,16,14.1565
237,16,14.1245
238,16,15.1495
239,16,14.1975
240,16,14.2705
241,16,14.2295
242,16,14.203
243,16,13.628
244,16,15.0125
245,16,14.381
246,16,14.2385
247,16,14.222
248,16,14.2155
249,16,15.0695
250,16,14.2575
251,16,14.28
252,16,14.2085
253,16,14.194
254,16,15.0955
255,16,14.343
256,16,14.235
257,16,14.425
258,16,14.302
259,16,14.166
260,16,14.3245
261,16,14.27
262,16,14.2745
263,16,14.1975
264,16,14.224
265,16,14.2045
266,16,14.304
267,16,14.2035
268,16,14.181
