Sample,Payload [Bytes],Latency [us]
1,16,34.9413
2,16,29.3108
3,16,29.6898
4,16,8.90285
5,16,8.47585
6,16,8.47335
7,16,8.49235
8,16,8.47535
9,16,8.46935
10,16,8.63285
11,16,8.45535
12,16,15.2863
13,16,8.92035
14,16,8.81735
15,16,8.85735
16,16,8.84785
17,16,9.39985
18,16,8.92635
19,16,8.82585
20,16,8.84085
21,16,8.91185
22,16,8.90135
23,16,8.83935
24,16,8.86135
25,16,8.81585
26,16,8.81235
27,16,8.81185
28,16,8.76885
29,16,8.81885
30,16,8.84885
31,16,8.78385
32,16,8.83535
33,16,8.94185
34,16,8.96535
35,16,8.80135
36,16,8.82885
37,16,8.85385
38,16,8.84635
39,16,8.84885
40,16,18.6903
41,16,14.1813
42,16,13.8828
43,16,13.7863
44,16,13.9768
45,16,13.7928
46,16,13.9108
47,16,13.7913
48,16,13.8553
49,16,13.7688
50,16,13.8318
51,16,13.7563
52,16,13.8358
53,16,13.8008
54,16,13.8318
55,16,13.8208
56,16,13.8998
57,16,13.9363
58,16,13.9753
59,16,13.7588
60,16,13.9348
61,16,13.7613
62,16,13.8443
63,16,13.7648
64,16,13.8608
65,16,14.0953
66,16,13.9588
67,16,13.7333
68,16,13.9003
69,16,13.8403
70,16,13.8988
71,16,13.8283
72,16,13.8418
73,16,13.7603
74,16,13.8118
75,16,13.7183
76,16,13.8383
77,16,13.7708
78,16,13.8468
79,16,13.7568
80,16,13.8323
81,16,13.7808
82,16,13.9218
83,16,13.8163
84,16,13.8378
85,16,13.6803
86,16,13.7633
87,16,13.7233
88,16,13.8188
89,16,13.8288
90,16,13.8913
91,16,13.3513
92,16,9.22685
93,16,8.95885
94,16,8.89385
95,16,8.84785
96,16,8.87335
97,16,8.84335
98,16,8.85385
99,16,8.85935
100,16,8.76135
101,16,8.79185
102,16,8.78485
103,16,8.83635
104,16,8.79885
105,16,8.82985
106,16,8.85135
107,16,8.82685
108,16,8.86885
109,16,8.82735
110,16,8.80435
111,16,8.82685
112,16,8.76335
113,16,8.78735
114,16,8.87235
115,16,8.80835
116,16,8.75335
117,16,8.80585
118,16,8.83585
119,16,8.88935
120,16,8.80985
121,16,8.80585
122,16,8.79485
123,16,8.84335
124,16,8.87485
125,16,8.80085
126,16,11.4573
127,16,8.94085
128,16,8.80535
129,16,8.92885
130,16,8.78835
131,16,8.77385
132,16,8.71485
133,16,8.79985
134,16,8.74485
135,16,8.79485
136,16,9.03935
137,16,8.82985
138,16,8.75735
139,16,20.1958
140,16,14.1003
141,16,13.8923
142,16,13.5473
143,16,13.6518
144,16,13.5593
145,16,13.7273
146,16,18.1198
147,16,14.0838
148,16,13.7073
149,16,13.8353
150,16,13.6213
151,16,13.8373
152,16,13.7223
153,16,13.7798
154,16,13.6603
155,16,13.7148
156,16,13.6983
157,16,13.7193
158,16,13.6683
159,16,13.7988
160,16,13.7148
161,16,13.7313
162,16,13.7328
163,16,13.7173
164,16,13.6463
165,16,13.6728
166,16,13.6018
167,16,13.7513
168,16,13.6323
169,16,13.8533
170,16,13.8098
171,16,13.7213
172,16,13.7378
173,16,15.2718
174,16,13.5213
175,16,17.8343
176,16,14.3838
177,16,13.5968
178,16,13.8278
179,16,13.6843
180,16,13.7083
181,16,13.6103
182,16,13.7708
183,16,13.6593
184,16,13.6518
185,16,13.6128
186,16,13.7473
187,16,13.6473
188,16,13.6663
189,16,13.6198
190,16,13.7288
191,16,13.6643
192,16,13.7213
193,16,13.6403
194,16,13.6583
195,16,13.6308
196,16,13.6398
197,16,13.6548
198,16,13.7613
199,16,13.6183
200,16,13.6938
201,16,13.5653
202,16,13.9398
203,16,13.6943
204,16,13.7888
205,16,13.5953
206,16,13.6733
207,16,13.5818
208,16,13.7043
209,16,13.6683
210,16,13.7203
211,16,13.5573
212,16,13.6403
213,16,13.5433
214,16,13.7373
215,16,13.6283
216,16,13.7278
217,16,13.5563
218,16,13.7043
219,16,13.5663
220,16,13.6263
221,16,13.6028
222,16,13.7483
223,16,13.5683
224,16,13.7763
225,16,13.6723
226,16,13.7853
227,16,13.5758
228,16,13.7168
229,16,13.6128
230,16,13.7793
231,16,13.6183
232,16,13.6873
233,16,13.6213
234,16,13.7553
235,16,13.5253
236,16,13.8173
237,16,13.6963
238,16,13.7418
239,16,13.5483
240,16,13.7298
241,16,13.5763
242,16,13.6513
243,16,13.5808
244,16,13.5988
245,16,13.5673
246,16,13.6983
247,16,13.6168
248,16,13.7203
249,16,13.5613
250,16,13.6693
251,16,13.5308
252,16,13.7488
253,16,13.5623
254,16,13.6213
255,16,13.5898
256,16,13.7053
257,16,13.8688
258,16,13.7063
259,16,13.6648
260,16,13.6613
261,16,13.6148
262,16,13.6463
263,16,13.5233
264,16,13.6498
265,16,13.5573
266,16,13.6783
267,16,13.5098
268,16,13.6553
269,16,13.8768
270,16,13.8293
271,16,13.6108
272,16,15.5948
273,16,13.9958
274,16,13.7543
275,16,13.7078
276,16,13.7383
277,16,13.7118
278,16,13.7323
279,16,13.6903
280,16,13.7343
281,16,13.7458
282,16,13.7938
283,16,13.6733
284,16,13.7978
285,16,13.7138
286,16,13.7328
287,16,13.6748
288,16,13.8138
289,16,13.7393
290,16,13.7233
291,16,13.7243
292,16,13.8068
293,16,13.7288
294,16,13.8903
295,16,13.6693
296,16,13.7503
297,16,13.6863
298,16,13.7928
299,16,13.7023
300,16,13.8063
301,16,13.6303
302,16,14.0348
303,16,13.7123
304,16,13.7638
305,16,13.6768
306,16,13.7253
307,16,13.5583
308,16,13.6493
309,16,13.6488
310,16,13.7393
311,16,13.5883
312,16,13.6613
313,16,13.6078
314,16,13.8248
315,16,13.6618
316,16,13.6788
317,16,13.6678
318,16,13.7503
319,16,13.5668
320,16,13.7203
321,16,13.6333
322,16,13.6898
323,16,13.6128
324,16,13.7463
325,16,13.6893
326,16,13.6883
327,16,13.6318
328,16,13.6793
329,16,13.6423
330,16,13.7478
331,16,13.6963
332,16,15.2008
333,16,12.9878
334,16,13.7048
335,16,14.1358
336,16,13.7288
337,16,13.6933
338,16,13.6563
339,16,13.6823
340,16,13.7158
341,16,13.7413
342,16,13.6368
343,16,13.6858
344,16,13.6623
345,16,13.7633
346,16,13.7008
347,16,13.7328
348,16,13.6023
349,16,13.6803
350,16,13.5828
351,16,13.7693
352,16,13.6678
353,16,13.7473
354,16,13.6053
355,16,13.6363
356,16,13.6113
357,16,13.7958
358,16,13.5498
359,16,13.7533
360,16,13.6423
361,16,13.7448
362,16,13.6523
363,16,13.7518
364,16,13.6373
365,16,13.7408
366,16,13.5788
367,16,13.7863
368,16,13.7683
369,16,13.8518
370,16,13.5858
371,16,13.7088
372,16,13.6673
373,16,13.6938
374,16,13.5488
375,16,13.6523
376,16,13.6383
377,16,13.6953
378,16,13.6358
379,16,13.7813
380,16,13.6823
381,16,13.6893
382,16,13.6073
383,16,13.7008
384,16,13.6233
385,16,13.7183
386,16,13.6488
387,16,13.6688
388,16,13.6403
389,16,13.7578
390,16,13.6393
391,16,13.7218
392,16,13.5788
393,16,13.7973
394,16,13.5848
395,16,13.6488
396,16,13.5943
397,16,13.7288
398,16,124.435
399,16,16.3183
400,16,14.8223
401,16,13.7098
402,16,13.5498
403,16,13.6833
404,16,13.6433
405,16,13.6573
406,16,13.5238
407,16,13.7368
408,16,13.5793
