Sample,Payload [Bytes],Latency [us]
1,16,0.697615
2,16,0.486115
3,16,0.481115
4,16,0.481615
5,16,0.474615
6,16,0.475115
7,16,0.484115
8,16,0.473615
9,16,0.485615
10,16,7.17311
11,16,0.457115
12,16,0.456615
13,16,0.454615
14,16,0.461615
15,16,0.462115
16,16,0.456615
17,16,0.471615
18,16,0.464615
19,16,0.453615
20,16,0.456615
21,16,0.460615
22,16,0.453115
23,16,0.448615
24,16,0.458115
25,16,0.459115
26,16,0.454115
27,16,0.463115
28,16,0.448115
29,16,0.451115
30,16,0.452115
31,16,0.454115
32,16,0.450615
33,16,0.492115
34,16,0.457115
35,16,0.452115
36,16,0.456615
37,16,0.471615
38,16,0.455115
39,16,0.452615
40,16,0.457615
41,16,0.461615
42,16,0.455115
43,16,0.470615
44,16,0.449115
45,16,0.456615
46,16,0.460115
47,16,0.458115
48,16,0.450615
49,16,0.452615
50,16,0.451115
51,16,0.449615
52,16,0.464115
53,16,0.455115
54,16,0.452615
55,16,0.452115
56,16,0.450615
57,16,0.449615
58,16,0.456115
59,16,0.456615
60,16,0.455115
61,16,0.455115
62,16,0.453115
63,16,0.453615
64,16,0.451615
65,16,0.459115
66,16,0.452615
67,16,0.456615
68,16,0.454115
69,16,0.473115
70,16,0.452615
71,16,0.451115
72,16,0.454115
73,16,0.461115
74,16,0.453615
75,16,0.449115
76,16,0.456115
77,16,0.449615
78,16,0.458615
79,16,0.449115
80,16,0.460115
81,16,0.449115
82,16,0.451615
83,16,0.454115
84,16,0.455115
85,16,0.451615
86,16,0.455115
87,16,0.456115
88,16,0.459115
89,16,0.451115
90,16,0.458615
91,16,0.458615
92,16,0.452615
93,16,0.452115
94,16,0.459115
95,16,0.455615
96,16,0.454615
97,16,0.453615
98,16,0.454115
99,16,0.450615
100,16,0.459615
101,16,0.455115
102,16,0.455615
103,16,0.469615
104,16,0.448615
105,16,0.451115
106,16,0.452115
107,16,0.454615
108,16,0.451115
109,16,0.453115
110,16,0.453615
111,16,0.453615
112,16,0.453615
113,16,0.456115
114,16,0.454115
115,16,0.460615
116,16,0.455115
117,16,0.464615
118,16,0.459115
119,16,0.454615
120,16,0.452115
121,16,0.453115
122,16,0.467115
123,16,0.452115
124,16,0.452615
125,16,0.458115
126,16,0.450115
127,16,0.456615
128,16,0.453115
129,16,0.459615
130,16,0.462115
131,16,0.450615
132,16,0.447615
133,16,0.454115
134,16,0.455115
135,16,0.451115
136,16,0.451615
137,16,0.452615
138,16,0.454615
139,16,0.453115
140,16,0.451615
141,16,0.470115
142,16,0.457115
143,16,0.462615
144,16,0.452615
145,16,0.456615
146,16,0.462115
147,16,0.455115
148,16,0.454115
149,16,0.453115
150,16,0.464115
151,16,0.452115
152,16,0.453615
153,16,0.455615
154,16,0.461615
155,16,0.462615
156,16,0.451615
157,16,0.451615
158,16,0.456115
159,16,0.451115
160,16,0.452115
161,16,0.455115
162,16,0.459115
163,16,0.449615
164,16,0.456615
165,16,0.449615
166,16,0.454115
167,16,0.459115
168,16,0.457615
169,16,0.452615
170,16,0.454615
171,16,0.450615
172,16,10.5186
173,16,0.467115
174,16,0.471615
175,16,0.469615
176,16,0.474615
177,16,0.467615
178,16,0.478115
179,16,0.470115
180,16,0.470615
181,16,0.468115
182,16,0.469115
183,16,0.468615
184,16,0.467115
185,16,0.469615
186,16,0.470115
187,16,0.473615
188,16,0.471615
189,16,0.476115
190,16,0.473115
191,16,0.467615
192,16,0.468115
193,16,0.464115
194,16,0.481115
195,16,0.469115
196,16,0.472115
197,16,0.474615
198,16,0.476615
199,16,0.467115
200,16,0.470615
201,16,0.471615
202,16,0.472115
203,16,0.494615
204,16,0.471115
205,16,0.471615
206,16,0.472115
207,16,0.469615
208,16,0.470615
209,16,0.472615
210,16,0.470615
211,16,0.466115
212,16,0.466615
213,16,0.465115
214,16,0.469615
215,16,0.470115
216,16,0.466115
217,16,0.467615
218,16,0.482115
219,16,0.470115
220,16,0.470615
221,16,0.466615
222,16,0.471615
223,16,0.474115
224,16,0.471115
225,16,0.470615
226,16,0.471615
227,16,0.469615
228,16,0.471615
229,16,0.471115
230,16,0.467615
231,16,0.467115
232,16,0.468615
233,16,0.471115
234,16,0.470615
235,16,0.466615
236,16,0.466115
237,16,0.467615
238,16,0.470615
239,16,0.467115
240,16,0.471115
241,16,0.471115
242,16,0.504115
243,16,0.466615
244,16,0.469615
245,16,0.471115
246,16,0.470615
247,16,0.477115
248,16,0.472115
249,16,0.471115
250,16,0.471615
251,16,0.467615
252,16,0.472115
253,16,0.466115
254,16,0.467615
255,16,0.468615
256,16,0.476615
257,16,0.498115
258,16,0.474615
259,16,0.471115
260,16,0.471115
261,16,0.467615
262,16,0.471115
263,16,0.467115
264,16,0.473615
265,16,0.466115
266,16,0.472615
267,16,0.465615
268,16,0.470115
269,16,0.467615
270,16,0.467615
271,16,0.468115
272,16,0.468115
273,16,0.468615
274,16,0.469115
275,16,0.485615
276,16,0.468615
277,16,0.466115
278,16,0.471115
279,16,0.468115
280,16,0.492615
281,16,0.466115
282,16,0.468615
283,16,0.470615
284,16,0.465115
285,16,0.466115
286,16,0.468115
287,16,0.465615
288,16,0.469115
289,16,0.466615
290,16,0.468615
291,16,0.469115
292,16,0.469115
293,16,0.470115
294,16,0.466115
295,16,0.469615
296,16,0.467115
297,16,0.483115
298,16,0.469115
299,16,0.490615
300,16,0.471115
301,16,0.472115
302,16,0.469615
303,16,0.466115
304,16,0.490615
305,16,0.469115
306,16,0.465615
307,16,0.468615
308,16,0.467615
309,16,0.485115
310,16,0.496115
311,16,0.489615
312,16,0.469115
313,16,0.466115
314,16,0.468615
315,16,0.467115
316,16,0.470115
317,16,0.468615
318,16,0.470115
319,16,0.472115
320,16,0.472615
321,16,0.475115
322,16,0.467615
323,16,0.469615
324,16,0.467115
325,16,0.467615
326,16,0.467115
327,16,0.468115
328,16,0.475615
329,16,0.467615
330,16,0.467615
331,16,12.4686
332,16,0.531615
333,16,0.511615
334,16,0.513115
335,16,0.505115
336,16,0.508115
337,16,0.513115
338,16,0.506115
339,16,0.503615
340,16,0.506615
341,16,0.507115
342,16,0.507615
343,16,0.506115
344,16,0.508615
345,16,0.509115
346,16,0.511615
347,16,0.510115
348,16,0.509115
349,16,0.508615
350,16,0.509615
351,16,0.509115
352,16,0.510615
353,16,0.520615
354,16,0.507615
355,16,0.509115
356,16,0.505615
357,16,0.503115
358,16,0.508115
359,16,0.506615
360,16,0.506115
361,16,0.519115
362,16,0.507115
363,16,0.507615
364,16,0.508115
365,16,0.508115
366,16,0.512115
367,16,0.510115
368,16,0.510115
369,16,0.507115
370,16,0.509115
371,16,0.509615
372,16,0.509615
373,16,0.523615
374,16,0.514615
375,16,0.509115
376,16,0.509615
377,16,0.513615
378,16,0.507615
379,16,0.792615
380,16,0.816615
381,16,0.916615
382,16,0.796615
383,16,0.880615
384,16,0.982115
385,16,0.843115
386,16,1.01361
387,16,0.915615
388,16,0.858615
389,16,1.10611
390,16,0.959615
391,16,0.914615
392,16,1.08811
393,16,1.08261
394,16,0.886115
395,16,1.05311
396,16,0.980115
397,16,0.887115
398,16,0.892115
399,16,0.934615
400,16,1.06411
401,16,0.941615
402,16,0.970115
403,16,0.980115
404,16,0.948615
405,16,0.986615
406,16,1.07661
407,16,1.02111
408,16,1.01161
409,16,0.972115
410,16,0.923115
411,16,0.936115
412,16,0.928615
413,16,0.936115
414,16,0.991115
415,16,0.920615
416,16,0.911615
417,16,0.999615
418,16,1.06961
419,16,0.814115
420,16,0.888115
421,16,1.06061
422,16,0.991615
423,16,1.16661
424,16,0.926615
425,16,0.806615
426,16,0.523615
427,16,0.505115
428,16,0.500615
429,16,0.513615
430,16,0.503615
431,16,0.511615
432,16,0.526115
433,16,0.505615
434,16,0.509115
435,16,0.500615
436,16,0.508615
437,16,0.518115
438,16,0.505615
439,16,0.500615
440,16,0.505115
441,16,0.504615
442,16,0.511615
443,16,0.504115
444,16,0.503115
445,16,0.508115
446,16,0.516115
447,16,0.505115
448,16,0.506115
449,16,0.508115
450,16,0.504615
451,16,0.521115
452,16,0.503615
453,16,0.501115
454,16,0.501615
455,16,0.500615
456,16,0.499615
457,16,0.504115
458,16,0.513615
459,16,0.501115
460,16,0.513115
461,16,0.505615
462,16,0.507115
463,16,0.501615
464,16,0.507115
465,16,0.504615
466,16,0.508115
467,16,0.503115
468,16,0.505115
469,16,0.516615
470,16,0.507115
471,16,0.503615
472,16,0.503615
473,16,0.512615
474,16,0.507615
475,16,0.508115
476,16,0.503615
477,16,0.505615
478,16,0.503115
479,16,0.501615
480,16,0.512615
481,16,0.502115
482,16,0.507115
483,16,0.501115
484,16,0.502115
485,16,0.506115
486,16,0.531115
487,16,0.502615
488,16,0.503115
489,16,0.505615
490,16,0.506615
491,16,0.504615
492,16,0.512115
493,16,0.506115
494,16,0.507115
495,16,0.502615
496,16,0.502615
497,16,0.504615
498,16,0.514615
499,16,0.501615
500,16,0.502615
501,16,0.507615
502,16,0.505615
503,16,0.501115
504,16,0.500615
505,16,0.504615
506,16,0.504615
507,16,0.514615
508,16,0.503115
509,16,0.506615
510,16,0.506615
511,16,0.513615
512,16,0.505115
513,16,0.622615
514,16,0.509615
515,16,0.506615
516,16,0.506115
517,16,0.504115
518,16,0.517115
519,16,0.498615
520,16,0.512115
521,16,0.503615
522,16,0.512615
523,16,0.511115
524,16,0.503615
525,16,0.499115
526,16,0.502115
527,16,0.500615
528,16,0.501615
529,16,0.511615
530,16,0.512615
531,16,0.506615
532,16,0.505115
533,16,0.512615
534,16,0.505615
535,16,0.505115
536,16,0.507115
537,16,0.502615
538,16,0.516115
539,16,0.505615
540,16,0.513115
541,16,0.505115
542,16,0.504615
543,16,0.503615
544,16,0.503615
545,16,0.502115
546,16,0.503615
547,16,0.513115
548,16,0.515615
549,16,0.506615
550,16,0.506115
551,16,0.518615
552,16,0.507615
553,16,0.504115
554,16,0.505615
555,16,0.502615
556,16,0.507615
557,16,0.506615
558,16,0.503615
559,16,0.513615
560,16,0.506615
561,16,0.511615
562,16,0.509115
563,16,0.501615
564,16,0.508615
565,16,0.505115
566,16,0.517115
567,16,0.512615
568,16,0.506615
569,16,0.502115
570,16,0.526615
571,16,0.501115
572,16,0.506615
573,16,0.508615
574,16,0.503615
575,16,0.509115
576,16,0.506115
577,16,0.505115
578,16,0.516115
579,16,0.508115
580,16,0.511115
581,16,0.504615
582,16,0.507115
583,16,0.512615
584,16,0.507615
585,16,0.500115
586,16,0.505615
587,16,0.504115
588,16,0.503615
589,16,0.503615
590,16,0.508115
591,16,0.507615
592,16,0.506115
593,16,0.505115
594,16,0.506615
595,16,0.502615
596,16,0.508615
597,16,0.503615
598,16,0.505615
599,16,0.501115
600,16,0.507115
601,16,0.507615
602,16,0.506615
603,16,0.510115
604,16,0.507615
605,16,0.513115
606,16,0.506615
607,16,0.507115
608,16,0.508615
609,16,0.535615
610,16,0.516615
611,16,0.503115
612,16,0.506615
613,16,0.505115
614,16,0.511615
615,16,0.505115
616,16,0.506615
617,16,0.504615
618,16,0.504115
619,16,0.501115
620,16,0.507615
621,16,0.506115
622,16,0.504115
623,16,0.514615
624,16,0.508615
625,16,0.500615
626,16,0.510615
627,16,0.511115
628,16,0.506615
629,16,0.507615
630,16,0.508615
631,16,0.503115
632,16,0.518615
633,16,0.505115
634,16,0.507115
635,16,0.502615
636,16,0.511115
637,16,0.504115
638,16,0.922615
639,16,0.901115
640,16,1.06661
641,16,1.03961
642,16,0.917615
643,16,0.962115
644,16,0.739615
645,16,0.517115
646,16,0.507615
647,16,0.503115
648,16,0.506115
649,16,0.505115
650,16,0.509115
651,16,0.501115
652,16,0.503615
653,16,0.513115
654,16,0.505115
655,16,0.502115
656,16,0.514115
657,16,0.516115
658,16,0.514615
659,16,0.502115
660,16,0.508115
661,16,0.533615
662,16,0.519615
663,16,0.504615
664,16,0.509115
665,16,0.509115
666,16,0.529115
667,16,0.689615
668,16,0.513615
669,16,0.507115
670,16,0.510615
671,16,0.503115
672,16,0.507115
673,16,0.503115
674,16,0.503615
675,16,0.515615
676,16,0.508115
677,16,0.501615
678,16,0.506615
679,16,0.503615
680,16,0.514615
681,16,0.510615
682,16,0.506115
683,16,0.509615
684,16,0.508115
685,16,0.508615
686,16,0.506615
687,16,0.505615
688,16,0.504615
689,16,0.508115
690,16,0.507615
691,16,0.504115
692,16,0.505615
693,16,0.508115
694,16,0.518615
695,16,0.503115
696,16,0.503615
697,16,0.505615
698,16,0.516115
699,16,0.506615
700,16,0.503115
701,16,0.505115
702,16,0.505115
703,16,0.504115
704,16,0.512615
705,16,0.505615
706,16,0.501615
707,16,0.506115
708,16,0.503615
709,16,0.521115
710,16,0.506615
711,16,0.502615
712,16,0.506615
713,16,0.515115
714,16,0.506115
715,16,0.504115
716,16,0.504615
717,16,0.507615
718,16,0.504115
719,16,0.502615
720,16,0.514115
721,16,0.508615
722,16,0.507115
723,16,0.516115
724,16,0.506115
725,16,0.507115
726,16,0.508115
727,16,0.512615
728,16,0.507115
729,16,0.505115
730,16,0.534615
731,16,0.504615
732,16,0.507615
733,16,0.513615
734,16,0.506115
735,16,0.505115
736,16,0.503615
737,16,0.514615
738,16,0.503115
739,16,0.515615
740,16,0.503615
741,16,0.504615
742,16,0.506115
743,16,0.502115
744,16,0.516615
745,16,0.509615
746,16,0.503115
747,16,0.501615
748,16,0.503615
749,16,0.508115
750,16,0.507115
751,16,0.503615
752,16,0.518615
753,16,0.503615
754,16,0.508615
755,16,0.504615
756,16,0.506615
757,16,0.506115
758,16,0.508115
759,16,0.515115
760,16,0.507615
761,16,0.513115
762,16,0.510115
763,16,0.503615
764,16,0.507615
765,16,0.521115
766,16,0.504115
767,16,0.502115
768,16,0.508115
769,16,0.506615
770,16,0.506615
771,16,0.507615
772,16,0.516115
773,16,0.507115
774,16,0.512615
775,16,0.506615
776,16,0.507615
777,16,0.516615
778,16,0.509115
779,16,0.505615
780,16,0.509115
781,16,0.508615
782,16,0.515615
783,16,0.505615
784,16,0.507115
785,16,0.513615
786,16,0.508615
787,16,0.504615
788,16,0.505115
789,16,0.505115
790,16,0.505115
791,16,0.511615
792,16,0.507115
793,16,0.506115
794,16,0.510615
795,16,0.505115
796,16,0.508115
797,16,0.504615
798,16,0.507615
799,16,0.505115
800,16,0.508115
801,16,0.507115
802,16,0.508115
803,16,0.503615
804,16,0.505115
805,16,0.505115
806,16,0.522615
807,16,0.521115
808,16,0.504115
809,16,0.504115
810,16,0.505115
811,16,0.505115
812,16,0.506615
813,16,0.511115
814,16,0.566615
815,16,0.502615
816,16,0.504115
817,16,0.505115
818,16,0.516615
819,16,0.503615
820,16,0.506615
821,16,0.507115
822,16,0.508115
823,16,0.504615
824,16,0.505615
825,16,0.505615
826,16,0.508615
827,16,0.508615
828,16,0.507615
829,16,0.504615
830,16,0.514115
831,16,0.521615
832,16,0.507115
833,16,0.505115
834,16,0.514615
835,16,0.503115
836,16,0.507115
837,16,0.504115
838,16,0.507615
839,16,0.504115
840,16,0.505615
841,16,0.503615
842,16,0.536615
843,16,0.504115
844,16,0.505615
845,16,0.506115
846,16,0.507615
847,16,0.514115
848,16,0.505615
849,16,0.504615
850,16,0.506615
851,16,0.545615
852,16,0.535115
853,16,0.574115
854,16,0.507115
855,16,0.505615
856,16,0.504615
857,16,0.502115
858,16,0.510115
859,16,0.500115
860,16,0.505115
861,16,0.505615
862,16,0.506615
863,16,0.505615
864,16,0.512115
865,16,0.508615
866,16,0.506115
867,16,0.508115
868,16,0.504615
869,16,0.520115
870,16,0.507115
871,16,0.504615
872,16,0.524115
873,16,0.535615
874,16,0.505615
875,16,0.533115
876,16,0.535115
877,16,0.501615
878,16,0.512615
879,16,0.503115
880,16,0.503615
881,16,0.507615
882,16,0.518115
883,16,0.503115
884,16,0.506615
885,16,0.505615
886,16,0.506115
887,16,0.502615
888,16,0.507615
889,16,0.517115
890,16,0.509115
891,16,0.505615
892,16,0.508615
893,16,0.509615
894,16,0.514615
895,16,0.531615
896,16,0.508615
897,16,0.527115
898,16,0.504115
899,16,0.503615
900,16,0.516615
901,16,0.505615
902,16,0.510115
903,16,0.500615
904,16,0.505615
905,16,0.505115
906,16,0.511115
907,16,0.508615
908,16,0.518115
909,16,0.505615
910,16,0.649115
911,16,0.513115
912,16,0.508115
913,16,0.521115
914,16,0.506115
915,16,0.506115
916,16,0.531115
917,16,0.537615
918,16,0.502615
919,16,0.515615
920,16,0.518115
921,16,0.508615
922,16,0.574115
923,16,0.522615
924,16,0.505115
925,16,0.507115
926,16,0.506615
927,16,0.505615
928,16,0.505115
929,16,0.507115
930,16,0.506115
931,16,0.508115
932,16,0.506115
933,16,0.508615
934,16,0.516115
935,16,0.556115
936,16,0.536115
937,16,0.510615
938,16,0.543115
939,16,0.509115
940,16,0.515615
941,16,0.506615
942,16,0.506615
943,16,0.501615
944,16,0.504115
945,16,0.516615
946,16,0.505615
947,16,0.504615
948,16,0.503615
949,16,0.506115
950,16,0.510615
951,16,0.507615
952,16,0.506115
953,16,0.508615
954,16,0.507115
955,16,0.516115
956,16,0.506115
957,16,0.505615
958,16,0.505615
959,16,0.505615
960,16,0.516615
961,16,0.504115
962,16,0.504615
963,16,0.504115
964,16,0.506615
965,16,0.514115
966,16,0.528115
967,16,0.509115
968,16,0.507115
969,16,0.518115
970,16,0.508115
971,16,0.505115
972,16,0.508115
973,16,0.515615
974,16,0.517115
975,16,0.508115
976,16,0.505115
977,16,0.503115
978,16,0.505615
979,16,0.517115
980,16,0.508615
981,16,0.513115
982,16,0.509615
983,16,0.508615
984,16,0.508115
985,16,0.503615
986,16,0.506115
987,16,0.510615
988,16,0.503615
989,16,0.505615
990,16,0.519115
991,16,0.503115
992,16,0.503115
993,16,0.504615
994,16,0.508115
995,16,0.504115
996,16,0.505115
997,16,0.516615
998,16,0.509615
999,16,0.504615
1000,16,0.504615
1001,16,0.508615
1002,16,0.515115
1003,16,0.504615
1004,16,0.506115
1005,16,0.506615
1006,16,0.517115
1007,16,0.507115
1008,16,0.502615
1009,16,0.511615
1010,16,0.507115
1011,16,0.514615
1012,16,0.505115
1013,16,0.508115
1014,16,0.501615
1015,16,0.518615
1016,16,0.502615
1017,16,0.503115
1018,16,0.506115
1019,16,0.503615
1020,16,0.517115
1021,16,0.504615
1022,16,0.508115
1023,16,0.503115
1024,16,0.507615
1025,16,0.583615
1026,16,0.510615
1027,16,0.509615
1028,16,0.517115
1029,16,0.521115
1030,16,0.505615
1031,16,0.502615
1032,16,0.506615
1033,16,0.522615
1034,16,0.515615
1035,16,0.507615
1036,16,0.503115
1037,16,0.507115
1038,16,0.504115
1039,16,0.511615
1040,16,0.504115
1041,16,0.522115
1042,16,0.510115
1043,16,0.506615
1044,16,0.510115
1045,16,0.506615
1046,16,0.506115
1047,16,0.517615
1048,16,0.508615
1049,16,0.504115
1050,16,0.503115
1051,16,0.514115
1052,16,0.506615
1053,16,0.500115
1054,16,0.503115
1055,16,0.506615
1056,16,0.519615
1057,16,0.508615
1058,16,0.522615
1059,16,0.506615
1060,16,0.505115
1061,16,0.505615
1062,16,0.504615
1063,16,0.505115
1064,16,0.507115
1065,16,0.512115
1066,16,0.506115
1067,16,0.512615
1068,16,0.506115
1069,16,0.520615
1070,16,0.507615
1071,16,0.510115
1072,16,0.520115
1073,16,0.505115
1074,16,0.507115
1075,16,0.506615
1076,16,0.505115
1077,16,0.503115
1078,16,0.505615
1079,16,0.504615
1080,16,0.516115
1081,16,0.505615
1082,16,0.506615
1083,16,0.504615
1084,16,0.508615
1085,16,0.503615
1086,16,0.509115
1087,16,0.515115
1088,16,0.514615
1089,16,0.504115
1090,16,0.511115
1091,16,0.507115
1092,16,0.526115
1093,16,0.506115
1094,16,0.511115
1095,16,0.503615
1096,16,0.507115
1097,16,0.504115
1098,16,0.502615
1099,16,0.514615
1100,16,0.508615
1101,16,0.505615
1102,16,0.505615
1103,16,0.508115
1104,16,0.518115
1105,16,0.505115
1106,16,0.504615
1107,16,0.503615
1108,16,0.512615
1109,16,0.508115
1110,16,0.516115
1111,16,0.509115
1112,16,0.507615
1113,16,0.506115
1114,16,0.507615
1115,16,0.507115
1116,16,0.504615
1117,16,0.507615
1118,16,0.504115
1119,16,0.508615
1120,16,0.506115
1121,16,0.508615
1122,16,0.510115
1123,16,0.506115
1124,16,0.502615
1125,16,0.507615
1126,16,0.512615
1127,16,0.506115
1128,16,0.505115
1129,16,0.516615
1130,16,0.517615
1131,16,0.508615
1132,16,0.512115
1133,16,0.505615
1134,16,0.506615
1135,16,0.507115
1136,16,0.507615
1137,16,0.505615
1138,16,0.507115
1139,16,0.536615
1140,16,0.522615
1141,16,0.506615
1142,16,0.505115
1143,16,0.509615
1144,16,0.516615
1145,16,0.507615
1146,16,0.514615
1147,16,0.505115
1148,16,0.510115
1149,16,0.515115
1150,16,0.505615
1151,16,0.504115
1152,16,0.504615
1153,16,0.507115
1154,16,0.507115
1155,16,0.509115
1156,16,0.505115
1157,16,0.510115
1158,16,0.510115
1159,16,0.509115
1160,16,0.507115
1161,16,0.518115
1162,16,0.509115
1163,16,0.510115
1164,16,0.513615
1165,16,0.507615
1166,16,0.523615
1167,16,0.503615
1168,16,0.505115
1169,16,0.506615
1170,16,0.503615
1171,16,0.518115
1172,16,0.508115
1173,16,0.520115
1174,16,0.505615
1175,16,0.507615
1176,16,0.508615
1177,16,0.517115
1178,16,0.506115
1179,16,0.507115
1180,16,0.519615
1181,16,0.508115
1182,16,0.506615
1183,16,0.508115
1184,16,0.513115
1185,16,0.508115
1186,16,0.518615
1187,16,0.512615
1188,16,0.507115
1189,16,0.507115
1190,16,0.505615
1191,16,0.507115
1192,16,0.519615
1193,16,0.512115
1194,16,0.515115
1195,16,0.506115
1196,16,0.505115
1197,16,0.504615
1198,16,0.520115
1199,16,0.511115
1200,16,0.511615
1201,16,0.507615
1202,16,0.507615
1203,16,0.507615
1204,16,0.509615
1205,16,0.532615
1206,16,0.515115
1207,16,0.508115
1208,16,0.507615
1209,16,0.512615
1210,16,0.508615
1211,16,0.506115
1212,16,0.505615
1213,16,0.510615
1214,16,0.506115
1215,16,0.508615
1216,16,0.515115
1217,16,0.505615
1218,16,0.504615
1219,16,0.505615
1220,16,0.514615
1221,16,0.508615
1222,16,0.504115
1223,16,0.509115
1224,16,0.505615
1225,16,0.526615
1226,16,0.506115
1227,16,0.509615
1228,16,0.506615
1229,16,0.513115
1230,16,0.503115
1231,16,0.519615
1232,16,0.516115
1233,16,0.508115
1234,16,0.506115
1235,16,0.507615
1236,16,0.508115
1237,16,0.509115
1238,16,0.504115
