Bytes,Samples,Max,Min,Mean,Median,Stdev,Mean jitter,Max jitter,90%,99%,99.99%
16,10000,124.435,7.227,8.534,7.776,2.349,0.433,110.706,12.438,14.218,37.675
32,10000,132.494,7.286,11.517,7.823,11.532,0.479,44.105,17.629,54.617,130.498
64,10000,133.208,7.356,11.349,7.773,11.288,0.431,53.920,17.796,54.594,132.691
128,10000,135.291,7.563,11.517,7.843,11.396,0.434,51.787,18.043,55.106,132.990
256,10000,135.299,7.498,11.690,7.910,11.657,0.465,61.318,18.224,55.087,134.928
512,10000,134.495,7.634,11.744,8.013,11.540,0.434,40.531,18.203,55.335,133.171
1024,10000,135.690,7.650,11.753,8.089,11.426,0.421,49.616,18.181,55.396,135.033
2048,10000,135.731,7.885,11.998,8.223,11.807,0.431,38.533,18.442,56.263,134.324
4096,10000,138.765,8.440,12.403,8.796,11.594,0.474,53.777,16.354,57.948,135.689
8192,10000,141.266,9.464,13.510,9.673,12.176,0.530,72.307,20.001,61.257,139.614
16384,10000,148.186,11.696,15.988,11.961,13.064,0.596,49.133,17.963,68.625,147.682
