Bytes,Samples,Max,Min,Mean,Median,Stdev,Mean jitter,Max jitter,90%,99%,99.99%
16,10000,81.867,0.448,0.543,0.507,0.875,0.061,81.337,0.562,0.955,23.976
32,10000,6.266,0.451,0.488,0.482,0.075,0.012,5.768,0.492,0.643,2.011
64,10000,15.894,0.441,0.470,0.454,0.332,0.030,15.439,0.465,0.619,14.585
128,10000,12.755,0.442,0.471,0.456,0.284,0.028,12.301,0.467,0.626,12.607
256,10000,14.110,0.447,0.475,0.464,0.205,0.019,13.651,0.478,0.614,11.920
512,10000,14.612,0.464,0.491,0.481,0.217,0.020,14.130,0.493,0.635,13.499
1024,10000,8.836,0.478,0.518,0.513,0.159,0.020,8.314,0.530,0.616,7.200
2048,10000,16.542,0.565,0.623,0.610,0.211,0.028,15.939,0.631,0.862,9.124
4096,10000,9.931,0.660,0.720,0.705,0.175,0.032,9.109,0.733,1.052,7.319
8192,10000,56.534,0.933,1.104,0.980,0.822,0.159,55.499,1.271,2.711,23.166
16384,10000,27.990,1.616,1.936,1.708,0.963,0.286,25.795,2.298,4.836,23.989
